Familia,Serie,Metodo_FS,Metrics_Source_File,Pkl_Source_Dir,Features_Source_File,NFeatures,Trivial,MSE_Baseline,MSE_FS,RMSE_Baseline,RMSE_FS,MAE_Baseline,MAE_FS,MAPE_Baseline,MAPE_FS,theil_Baseline,theil_FS,ARV_Baseline,ARV_FS,IA_Baseline,IA_FS,POCID_Baseline,POCID_FS,PctGain
SVR,samurec,mutualinfo,results/chamados_pct10_fs_svr_mutualinfo/metrics.csv,data/result/chamados_pct10_fs_svr_mutualinfo/,results/chamados_pct10_fs_svr_mutualinfo/selected_features.csv,5.000000,False,53.223628,68.605992,7.295453,8.282873,6.150435,6.661193,21.673701,23.402386,2.822496,2.414456,3.583096,2.627399,0.462201,0.430863,57.627119,37.288136,-13.534744
SVR,samurec,rfembedded,results/chamados_pct10_fs_svr_rfembedded/metrics.csv,data/result/chamados_pct10_fs_svr_rfembedded/,results/chamados_pct10_fs_svr_rfembedded/selected_features.csv,10.000000,False,53.223628,59.196410,7.295453,7.693920,6.150435,6.177051,21.673701,21.509626,2.822496,3.468075,3.583096,2.814241,0.462201,0.473391,57.627119,40.677966,-5.461866
SVR,samurec,lasso,results/chamados_pct10_fs_svr_lasso/metrics.csv,data/result/chamados_pct10_fs_svr_lasso/,results/chamados_pct10_fs_svr_lasso/selected_features.csv,52.000000,False,53.223628,59.703299,7.295453,7.726791,6.150435,6.319960,21.673701,21.802890,2.822496,3.203616,3.583096,4.029323,0.462201,0.396493,57.627119,49.152542,-5.912429
SVR,samurec,rfecv,results/chamados_pct10_fs_svr_rfecv/metrics.csv,data/result/chamados_pct10_fs_svr_rfecv/,results/chamados_pct10_fs_svr_rfecv/selected_features.csv,91.000000,False,53.223628,62.894753,7.295453,7.930621,6.150435,6.526387,21.673701,23.234181,2.822496,2.302840,3.583096,1.963598,0.462201,0.528257,57.627119,43.220339,-8.706364
SVR,sunspot,sem_FS,results/baseline_metrics.csv,data/result/chamados_pct10/,,26.000000,False,483.449172,483.449172,21.987478,21.987478,18.211520,18.211520,50.042876,50.042876,0.417748,0.417748,0.179032,0.179032,0.946185,0.946185,82.142857,82.142857,0.000000
SVR,sunspot,ftest,results/chamados_pct10_fs_svr_ftest/metrics.csv,data/result/chamados_pct10_fs_svr_ftest/,results/chamados_pct10_fs_svr_ftest/selected_features.csv,9.000000,False,483.449172,370.971968,21.987478,19.260633,18.211520,15.348347,50.042876,33.853199,0.417748,0.523345,0.179032,0.270610,0.946185,0.942196,82.142857,82.142857,12.401809
SVR,sunspot,mutualinfo,results/chamados_pct10_fs_svr_mutualinfo/metrics.csv,data/result/chamados_pct10_fs_svr_mutualinfo/,results/chamados_pct10_fs_svr_mutualinfo/selected_features.csv,5.000000,False,483.449172,423.621788,21.987478,20.582074,18.211520,16.900294,50.042876,37.354346,0.417748,0.415674,0.179032,0.221572,0.946185,0.943420,82.142857,67.857143,6.391835
SVR,sunspot,rfembedded,results/chamados_pct10_fs_svr_rfembedded/metrics.csv,data/result/chamados_pct10_fs_svr_rfembedded/,results/chamados_pct10_fs_svr_rfembedded/selected_features.csv,3.000000,False,483.449172,499.802469,21.987478,22.356262,18.211520,18.258937,50.042876,47.128701,0.417748,0.717016,0.179032,0.358057,0.946185,0.922059,82.142857,75.000000,-1.677249
SVR,sunspot,lasso,results/chamados_pct10_fs_svr_lasso/metrics.csv,data/result/chamados_pct10_fs_svr_lasso/,results/chamados_pct10_fs_svr_lasso/selected_features.csv,9.000000,False,483.449172,650.842229,21.987478,25.511610,18.211520,20.719418,50.042876,45.699864,0.417748,0.892922,0.179032,0.344179,0.946185,0.910797,82.142857,82.142857,-16.027905
SVR,sunspot,rfecv,results/chamados_pct10_fs_svr_rfecv/metrics.csv,data/result/chamados_pct10_fs_svr_rfecv/,results/chamados_pct10_fs_svr_rfecv/selected_features.csv,4.000000,False,483.449172,384.955811,21.987478,19.620291,18.211520,15.189547,50.042876,32.971659,0.417748,0.645286,0.179032,0.285372,0.946185,0.939642,82.142857,75.000000,10.766068
SVR,windspeedfortaleza,sem_FS,results/baseline_metrics.csv,data/result/chamados_pct10/,,13.000000,False,0.128656,0.128656,0.358687,0.358687,0.269236,0.269236,9.134217,9.134217,0.526910,0.526910,0.212575,0.212575,0.942282,0.942282,71.428571,71.428571,0.000000
SVR,windspeedfortaleza,ftest,results/chamados_pct10_fs_svr_ftest/metrics.csv,data/result/chamados_pct10_fs_svr_ftest/,results/chamados_pct10_fs_svr_ftest/selected_features.csv,9.000000,False,0.128656,0.174411,0.358687,0.417626,0.269236,0.332797,9.134217,12.714224,0.526910,0.437364,0.212575,0.240108,0.942282,0.928323,71.428571,64.285714,-16.431889
SVR,windspeedfortaleza,mutualinfo,results/chamados_pct10_fs_svr_mutualinfo/metrics.csv,data/result/chamados_pct10_fs_svr_mutualinfo/,results/chamados_pct10_fs_svr_mutualinfo/selected_features.csv,5.000000,False,0.128656,0.140594,0.358687,0.374959,0.269236,0.306869,9.134217,10.946241,0.526910,0.731768,0.212575,0.303257,0.942282,0.927490,71.428571,50.000000,-4.536574
SVR,windspeedfortaleza,rfembedded,results/chamados_pct10_fs_svr_rfembedded/metrics.csv,data/result/chamados_pct10_fs_svr_rfembedded/,results/chamados_pct10_fs_svr_rfembedded/selected_features.csv,3.000000,False,0.128656,0.184886,0.358687,0.429983,0.269236,0.381956,9.134217,13.962370,0.526910,1.075851,0.212575,0.428247,0.942282,0.899161,71.428571,42.857143,-19.877176
SVR,windspeedfortaleza,lasso,results/chamados_pct10_fs_svr_lasso/metrics.csv,data/result/chamados_pct10_fs_svr_lasso/,results/chamados_pct10_fs_svr_lasso/selected_features.csv,4.000000,False,0.128656,0.132076,0.358687,0.363422,0.269236,0.298414,9.134217,10.653145,0.526910,0.888599,0.212575,0.324961,0.942282,0.927768,71.428571,50.000000,-1.320306
